"Activity" "Subject_id" "Measure_Axis" "average"
"WALKING" 2 "tBodyAcc-mean()-X" 0.276426586440678
"WALKING" 2 "tBodyAcc-mean()-Y" -0.0185949199145763
"WALKING" 2 "tBodyAcc-mean()-Z" -0.105500357966102
"WALKING" 2 "tBodyAcc-std()-X" -0.423642838474576
"WALKING" 2 "tBodyAcc-std()-Y" -0.0780912533118644
"WALKING" 2 "tBodyAcc-std()-Z" -0.425257524915254
"WALKING" 2 "tGravityAcc-mean()-X" 0.91301733338983
"WALKING" 2 "tGravityAcc-mean()-Y" -0.34660709
"WALKING" 2 "tGravityAcc-mean()-Z" 0.0847270871186441
"WALKING" 2 "tGravityAcc-std()-X" -0.972693201355932
"WALKING" 2 "tGravityAcc-std()-Y" -0.972116879661017
"WALKING" 2 "tGravityAcc-std()-Z" -0.972072847627119
"WALKING" 2 "tBodyAccJerk-mean()-X" 0.0618080696279661
"WALKING" 2 "tBodyAccJerk-mean()-Y" 0.0182492679288136
"WALKING" 2 "tBodyAccJerk-mean()-Z" 0.00789533706610169
"WALKING" 2 "tBodyAccJerk-std()-X" -0.277530462620339
"WALKING" 2 "tBodyAccJerk-std()-Y" -0.0166022362847458
"WALKING" 2 "tBodyAccJerk-std()-Z" -0.586090418983051
"WALKING" 2 "tBodyGyro-mean()-X" -0.0530258157347458
"WALKING" 2 "tBodyGyro-mean()-Y" -0.0482382316949153
"WALKING" 2 "tBodyGyro-mean()-Z" 0.0828336633220339
"WALKING" 2 "tBodyGyro-std()-X" -0.561550255762712
"WALKING" 2 "tBodyGyro-std()-Y" -0.53845366779661
"WALKING" 2 "tBodyGyro-std()-Z" -0.481085535084746
"WALKING" 2 "tBodyGyroJerk-mean()-X" -0.0818833429152542
"WALKING" 2 "tBodyGyroJerk-mean()-Y" -0.0538299449067797
"WALKING" 2 "tBodyGyroJerk-mean()-Z" -0.0514939156830508
"WALKING" 2 "tBodyGyroJerk-std()-X" -0.389549831525424
"WALKING" 2 "tBodyGyroJerk-std()-Y" -0.634140436101695
"WALKING" 2 "tBodyGyroJerk-std()-Z" -0.435492677288136
"WALKING" 2 "tBodyAccMag-mean()" -0.290407593728814
"WALKING" 2 "tBodyAccMag-std()" -0.422544169322034
"WALKING" 2 "tGravityAccMag-mean()" -0.290407593728814
"WALKING" 2 "tGravityAccMag-std()" -0.422544169322034
"WALKING" 2 "tBodyAccJerkMag-mean()" -0.281424153881356
"WALKING" 2 "tBodyAccJerkMag-std()" -0.164150985127119
"WALKING" 2 "tBodyGyroMag-mean()" -0.446549092881356
"WALKING" 2 "tBodyGyroMag-std()" -0.553019916271186
"WALKING" 2 "tBodyGyroJerkMag-mean()" -0.547911950338983
"WALKING" 2 "tBodyGyroJerkMag-std()" -0.557798151355932
"WALKING" 2 "fBodyAcc-mean()-X" -0.346048161016949
"WALKING" 2 "fBodyAcc-mean()-Y" -0.0219048103322034
"WALKING" 2 "fBodyAcc-mean()-Z" -0.453806369830508
"WALKING" 2 "fBodyAcc-std()-X" -0.457651383728814
"WALKING" 2 "fBodyAcc-std()-Y" -0.16921968620339
"WALKING" 2 "fBodyAcc-std()-Z" -0.455222146440678
"WALKING" 2 "fBodyAcc-meanFreq()-X" -0.14579548970339
"WALKING" 2 "fBodyAcc-meanFreq()-Y" 0.198586466508475
"WALKING" 2 "fBodyAcc-meanFreq()-Z" 0.0688995208186441
"WALKING" 2 "fBodyAccJerk-mean()-X" -0.304615322881356
"WALKING" 2 "fBodyAccJerk-mean()-Y" -0.0787640836610169
"WALKING" 2 "fBodyAccJerk-mean()-Z" -0.554956709661017
"WALKING" 2 "fBodyAccJerk-std()-X" -0.31431306340678
"WALKING" 2 "fBodyAccJerk-std()-Y" -0.0153329520084746
"WALKING" 2 "fBodyAccJerk-std()-Z" -0.615898188474576
"WALKING" 2 "fBodyAccJerk-meanFreq()-X" -0.0727101584479661
"WALKING" 2 "fBodyAccJerk-meanFreq()-Y" -0.263574018186441
"WALKING" 2 "fBodyAccJerk-meanFreq()-Z" -0.254846438755932
